"word","freq"
"A Hemelytra and hind wings","A Hemelytra and hind wings","  1"
"A Length","A Length","  2"
"A Length of","A Length of","  2"
"A Length of male","A Length of male","  2"
"A Length of male ","A Length of male ","  2"
"A Lent","A Lent","  1"
"A Lent and","A Lent and","  1"
"A Lent and Jurberg","A Lent and Jurberg","  1"
"A Lent and Jurberg ","A Lent and Jurberg ","  1"
"A lOF","A lOF","  1"
"A lOF F","A lOF F","  1"
"A lOF F C","A lOF F C","  1"
"A lOF F C C","A lOF F C C","  1"
"A nee","A nee","  1"
"A nee St","A nee St","  1"
"A nee St Belminus","A nee St Belminus","  1"
"A nee St Belminus eostarieensis","A nee St Belminus eostarieensis","  1"
"A ratio","A ratio","  1"
"A Ratio","A Ratio","  1"
"A ratio of","A ratio of","  1"
"A Ratio of","A Ratio of","  1"
"A Ratio of antennal","A Ratio of antennal","  1"
"A Ratio of antennal segments","A Ratio of antennal segments","  1"
"A ratio of rostral","A ratio of rostral","  1"
"A ratio of rostral segments","A ratio of rostral segments","  1"
"A Ryckman","A Ryckman","  1"
"A Ryckman ","A Ryckman ","  1"
"A Ryckman  p","A Ryckman  p","  1"
"A Ryckman  p ","A Ryckman  p ","  1"
"A second","A second","  1"
"A second segment","A second segment","  1"
"A second segment extending","A second segment extending","  1"
"A second segment extending beyond","A second segment extending beyond","  1"
"A sides","A sides","  1"
"A sides of","A sides of","  1"
"A sides of anterior","A sides of anterior","  1"
"A sides of anterior and","A sides of anterior and","  1"
"A species","A species","  1"
"A species distinguished","A species distinguished","  1"
"A species distinguished from","A species distinguished from","  1"
"A species distinguished from trinidadensis","A species distinguished from trinidadensis","  1"
"A Triatoma","A Triatoma","  1"
"A Triatoma megista","A Triatoma megista","  1"
"A Triatoma megista var","A Triatoma megista var","  1"
"A Triatoma megista var Wernickei","A Triatoma megista var Wernickei","  1"
"A with","A with","  1"
"A with small","A with small","  1"
"A with small but","A with small but","  1"
"A with small but distinct","A with small but distinct","  1"
"Abalos","Abalos"," 25"
"Abalos ","Abalos ","  5"
"Abalos  p","Abalos  p","  5"
"Abalos  p ","Abalos  p ","  5"
"Abalos  p  ","Abalos  p  ","  1"
"Abalos  p  figs","Abalos  p  figs","  4"
"Abalos and","Abalos and"," 18"
"Abalos and Wygodzinsky","Abalos and Wygodzinsky"," 16"
"Abalos and Wygodzinsky ","Abalos and Wygodzinsky "," 16"
"Abalos and Wygodzinsky  p","Abalos and Wygodzinsky  p"," 16"
"Abalos and Wygodzinsy","Abalos and Wygodzinsy","  2"
"Abalos and Wygodzinsy ","Abalos and Wygodzinsy ","  2"
"Abalos and Wygodzinsy  p","Abalos and Wygodzinsy  p","  2"
"Abalos Figures","Abalos Figures","  2"
"Abalos Figures ","Abalos Figures ","  2"
"Abalos Figures  ","Abalos Figures  ","  1"
"Abalos Figures   Triatoma","Abalos Figures   Triatoma","  1"
"Abalos Figures  Triatoma","Abalos Figures  Triatoma","  1"
"Abalos Figures  Triatoma guasayana","Abalos Figures  Triatoma guasayana","  1"
"Abdomen","Abdomen"," 75"
"Abdomen and","Abdomen and","  2"
"Abdomen and connexivum","Abdomen and connexivum","  1"
"Abdomen and connexivum as","Abdomen and connexivum as","  1"
"Abdomen and connexivum as in","Abdomen and connexivum as in","  1"
"Abdomen and genitalia","Abdomen and genitalia","  1"
"Abdomen and genitalia as","Abdomen and genitalia as","  1"
"Abdomen and genitalia as in","Abdomen and genitalia as in","  1"
"Abdomen as","Abdomen as","  2"
"Abdomen as described","Abdomen as described","  2"
"Abdomen as described for","Abdomen as described for","  2"
"Abdomen as described for L","Abdomen as described for L","  2"
"Abdomen black","Abdomen black","  1"
"Abdomen black Connexivum","Abdomen black Connexivum","  1"
"Abdomen black Connexivum pink","Abdomen black Connexivum pink","  1"
"Abdomen black Connexivum pink or","Abdomen black Connexivum pink or","  1"
"Abdomen broadly","Abdomen broadly","  1"
"Abdomen broadly oval","Abdomen broadly oval","  1"
"Abdomen broadly oval Urosternites","Abdomen broadly oval Urosternites","  1"
"Abdomen broadly oval Urosternites covering","Abdomen broadly oval Urosternites covering","  1"
"Abdomen convex","Abdomen convex"," 10"
"Abdomen convex below","Abdomen convex below","  9"
"Abdomen convex below Connexivum","Abdomen convex below Connexivum","  2"
"Abdomen convex below Connexivum wide","Abdomen convex below Connexivum wide","  2"
"Abdomen convex below delicately","Abdomen convex below delicately","  1"
"Abdomen convex below delicately striate","Abdomen convex below delicately striate","  1"
"Abdomen convex below distinctly","Abdomen convex below distinctly","  1"
"Abdomen convex below distinctly flattened","Abdomen convex below distinctly flattened","  1"
"Abdomen convex below in","Abdomen convex below in","  2"
"Abdomen convex below in male","Abdomen convex below in male","  1"
"Abdomen convex below in some","Abdomen convex below in some","  1"
"Abdomen convex below minutely","Abdomen convex below minutely","  1"
"Abdomen convex below minutely striate","Abdomen convex below minutely striate","  1"
"Abdomen convex below small","Abdomen convex below small","  1"
"Abdomen convex below small central","Abdomen convex below small central","  1"
"Abdomen convex below Venter","Abdomen convex below Venter","  1"
"Abdomen convex below Venter delicately","Abdomen convex below Venter delicately","  1"
"Abdomen convex flattened","Abdomen convex flattened","  1"
"Abdomen convex flattened ventrally","Abdomen convex flattened ventrally","  1"
"Abdomen convex flattened ventrally on","Abdomen convex flattened ventrally on","  1"
"Abdomen dark","Abdomen dark","  5"
"Abdomen dark brown","Abdomen dark brown","  1"
"Abdomen dark brown or","Abdomen dark brown or","  1"
"Abdomen dark brown or black","Abdomen dark brown or black","  1"
"Abdomen dark but","Abdomen dark but","  1"
"Abdomen dark but center","Abdomen dark but center","  1"
"Abdomen dark but center of","Abdomen dark but center of","  1"
"Abdomen dark irregularly","Abdomen dark irregularly","  1"
"Abdomen dark irregularly and","Abdomen dark irregularly and","  1"
"Abdomen dark irregularly and faintly","Abdomen dark irregularly and faintly","  1"
"Abdomen dark reddish","Abdomen dark reddish","  1"
"Abdomen dark reddish brown","Abdomen dark reddish brown","  1"
"Abdomen dark reddish brown Connexivum","Abdomen dark reddish brown Connexivum","  1"
"Abdomen dark with","Abdomen dark with","  1"
"Abdomen dark with center","Abdomen dark with center","  1"
"Abdomen dark with center of","Abdomen dark with center of","  1"
"Abdomen elongate","Abdomen elongate","  1"
"Abdomen elongate oval","Abdomen elongate oval","  1"
"Abdomen elongate oval Urosternites","Abdomen elongate oval Urosternites","  1"
"Abdomen elongate oval Urosternites covering","Abdomen elongate oval Urosternites covering","  1"
"Abdomen except","Abdomen except","  1"
"Abdomen except connexivum","Abdomen except connexivum","  1"
"Abdomen except connexivum uniformly","Abdomen except connexivum uniformly","  1"
"Abdomen except connexivum uniformly dark","Abdomen except connexivum uniformly dark","  1"
"Abdomen flattened","Abdomen flattened","  1"
"Abdomen flattened below","Abdomen flattened below","  1"
"Abdomen flattened below longitudinally","Abdomen flattened below longitudinally","  1"
"Abdomen flattened below longitudinally along","Abdomen flattened below longitudinally along","  1"
"Abdomen from","Abdomen from","  2"
"Abdomen from dark","Abdomen from dark","  1"
"Abdomen from dark brown","Abdomen from dark brown","  1"
"Abdomen from dark brown to","Abdomen from dark brown to","  1"
"Abdomen from narrow","Abdomen from narrow","  1"
"Abdomen from narrow to","Abdomen from narrow to","  1"
"Abdomen from narrow to wide","Abdomen from narrow to wide","  1"
"Abdomen heavily","Abdomen heavily","  2"
"Abdomen heavily rugose","Abdomen heavily rugose","  2"
"Abdomen heavily rugose dorsally","Abdomen heavily rugose dorsally","  2"
"Abdomen heavily rugose dorsally and","Abdomen heavily rugose dorsally and","  2"
"Abdomen in","Abdomen in","  2"
"Abdomen in most","Abdomen in most","  1"
"Abdomen in most cases","Abdomen in most cases","  1"
"Abdomen in most cases with","Abdomen in most cases with","  1"
"Abdomen in some","Abdomen in some","  1"
"Abdomen in some specimens","Abdomen in some specimens","  1"
"Abdomen in some specimens rather","Abdomen in some specimens rather","  1"
"Abdomen light","Abdomen light","  4"
"Abdomen light brown","Abdomen light brown","  1"
"Abdomen light brown Connexivum","Abdomen light brown Connexivum","  1"
"Abdomen light brown Connexivum light","Abdomen light brown Connexivum light","  1"
"Abdomen light colored","Abdomen light colored","  1"
"Abdomen light colored ventrally","Abdomen light colored ventrally","  1"
"Abdomen light colored ventrally with","Abdomen light colored ventrally with","  1"
"Abdomen light yellowish","Abdomen light yellowish","  2"
"Abdomen light yellowish brown","Abdomen light yellowish brown","  2"
"Abdomen light yellowish brown areolate","Abdomen light yellowish brown areolate","  1"
"Abdomen light yellowish brown ventrally","Abdomen light yellowish brown ventrally","  1"
"Abdomen minutely","Abdomen minutely","  1"
"Abdomen minutely striate","Abdomen minutely striate","  1"
"Abdomen minutely striate transversally","Abdomen minutely striate transversally","  1"
"Abdomen minutely striate transversally below","Abdomen minutely striate transversally below","  1"
"Abdomen narrow","Abdomen narrow","  1"
"Abdomen narrow Venter","Abdomen narrow Venter","  1"
"Abdomen narrow Venter convex","Abdomen narrow Venter convex","  1"
"Abdomen narrow Venter convex slightly","Abdomen narrow Venter convex slightly","  1"
"Abdomen of","Abdomen of","  6"
"Abdomen of female","Abdomen of female","  1"
"Abdomen of female very","Abdomen of female very","  1"
"Abdomen of female very wide","Abdomen of female very wide","  1"
"Abdomen of general","Abdomen of general","  5"
"Abdomen of general body","Abdomen of general body","  5"
"Abdomen of general body color","Abdomen of general body color","  5"
"Abdomen rounded","Abdomen rounded","  5"
"Abdomen rounded below","Abdomen rounded below","  4"
"Abdomen rounded below although","Abdomen rounded below although","  1"
"Abdomen rounded below although only","Abdomen rounded below although only","  1"
"Abdomen rounded below but","Abdomen rounded below but","  1"
"Abdomen rounded below but faintly","Abdomen rounded below but faintly","  1"
"Abdomen rounded below minutely","Abdomen rounded below minutely","  1"
"Abdomen rounded below minutely striate","Abdomen rounded below minutely striate","  1"
"Abdomen rounded below with","Abdomen rounded below with","  1"
"Abdomen rounded below with minute","Abdomen rounded below with minute","  1"
"Abdomen rounded or","Abdomen rounded or","  1"
"Abdomen rounded or very","Abdomen rounded or very","  1"
"Abdomen rounded or very slightly","Abdomen rounded or very slightly","  1"
"Abdomen slightly","Abdomen slightly","  2"
"Abdomen slightly flattened","Abdomen slightly flattened","  2"
"Abdomen slightly flattened below","Abdomen slightly flattened below","  2"
"Abdomen slightly flattened below in","Abdomen slightly flattened below in","  2"
"Abdomen strongly","Abdomen strongly","  1"
"Abdomen strongly widened","Abdomen strongly widened","  1"
"Abdomen strongly widened with","Abdomen strongly widened with","  1"
"Abdomen strongly widened with hemelytra","Abdomen strongly widened with hemelytra","  1"
"Abdomen uniformly","Abdomen uniformly","  1"
"Abdomen uniformly dark","Abdomen uniformly dark","  1"
"Abdomen uniformly dark except","Abdomen uniformly dark except","  1"
"Abdomen uniformly dark except connexivum","Abdomen uniformly dark except connexivum","  1"
"Abdomen unusually","Abdomen unusually","  1"
"Abdomen unusually wide","Abdomen unusually wide","  1"
"Abdomen unusually wide lateral","Abdomen unusually wide lateral","  1"
"Abdomen unusually wide lateral portions","Abdomen unusually wide lateral portions","  1"
"Abdomen very","Abdomen very","  4"
"Abdomen very wide","Abdomen very wide","  4"
"Abdomen very wide in","Abdomen very wide in","  1"
"Abdomen very wide in some","Abdomen very wide in some","  1"
"Abdomen very wide lateral","Abdomen very wide lateral","  2"
"Abdomen very wide lateral portions","Abdomen very wide lateral portions","  2"
"Abdomen very wide with","Abdomen very wide with","  1"
"Abdomen very wide with lateral","Abdomen very wide with lateral","  1"
"Abdomen wide","Abdomen wide","  7"
"Abdomen wide extreme","Abdomen wide extreme","  1"
"Abdomen wide extreme lateral","Abdomen wide extreme lateral","  1"
"Abdomen wide extreme lateral portions","Abdomen wide extreme lateral portions","  1"
"Abdomen wide lateral","Abdomen wide lateral","  1"
"Abdomen wide lateral portions","Abdomen wide lateral portions","  1"
"Abdomen wide lateral portions of","Abdomen wide lateral portions of","  1"
"Abdomen wide with","Abdomen wide with","  5"
"Abdomen wide with lateral","Abdomen wide with lateral","  4"
"Abdomen wide with lateral portions","Abdomen wide with lateral portions","  4"
"Abdomen wide with most","Abdomen wide with most","  1"
"Abdomen wide with most urotergites","Abdomen wide with most urotergites","  1"
"Abdomen with","Abdomen with"," 10"
"Abdomen with connexival","Abdomen with connexival","  2"
"Abdomen with connexival segments","Abdomen with connexival segments","  2"
"Abdomen with connexival segments narrowly","Abdomen with connexival segments narrowly","  1"
"Abdomen with connexival segments normally","Abdomen with connexival segments normally","  1"
"Abdomen with posterior","Abdomen with posterior","  1"
"Abdomen with posterior fourth","Abdomen with posterior fourth","  1"
"Abdomen with posterior fourth of","Abdomen with posterior fourth of","  1"
"Abdomen with spiracles","Abdomen with spiracles","  2"
"Abdomen with spiracles close","Abdomen with spiracles close","  1"
"Abdomen with spiracles close to","Abdomen with spiracles close to","  1"
"Abdomen with spiracles remote","Abdomen with spiracles remote","  1"
"Abdomen with spiracles remote from","Abdomen with spiracles remote from","  1"
"Abdomen with under","Abdomen with under","  1"
"Abdomen with under surface","Abdomen with under surface","  1"
"Abdomen with under surface of","Abdomen with under surface of","  1"
"Abdomen with urostemites","Abdomen with urostemites","  1"
"Abdomen with urostemites covering","Abdomen with urostemites covering","  1"
"Abdomen with urostemites covering part","Abdomen with urostemites covering part","  1"
"Abdomen with venter","Abdomen with venter","  3"
"Abdomen with venter from","Abdomen with venter from","  1"
"Abdomen with venter from convex","Abdomen with venter from convex","  1"
"Abdomen with venter yellowish","Abdomen with venter yellowish","  2"
"Abdomen with venter yellowish brown","Abdomen with venter yellowish brown","  2"
"Abdomen yellowish","Abdomen yellowish","  2"
"Abdomen yellowish brown","Abdomen yellowish brown","  2"
"Abdomen yellowish brown almost","Abdomen yellowish brown almost","  1"
"Abdomen yellowish brown almost without","Abdomen yellowish brown almost without","  1"
"Abdomen yellowish brown ventrally","Abdomen yellowish brown ventrally","  1"
"Abdomen yellowish brown ventrally irregularly","Abdomen yellowish brown ventrally irregularly","  1"
"Abdominal","Abdominal","  1"
"Abdominal venter","Abdominal venter","  1"
"Abdominal venter shortly","Abdominal venter shortly","  1"
"Abdominal venter shortly pilose","Abdominal venter shortly pilose","  1"
"Abdominal venter shortly pilose Spiracles","Abdominal venter shortly pilose Spiracles","  1"
"AC E","AC E","  1"
"AC E ","AC E ","  1"
"AC E  Conorhinus","AC E  Conorhinus","  1"
"AC E  Conorhinus megistus","AC E  Conorhinus megistus","  1"
"Acetabula","Acetabula","  1"
"Acetabula partially","Acetabula partially","  1"
"Acetabula partially or","Acetabula partially or","  1"
"Acetabula partially or entirely","Acetabula partially or entirely","  1"
"Acetabula partially or entirely orangeyellow","Acetabula partially or entirely orangeyellow","  1"
"AD ","AD ","  1"
"AD  A","AD  A","  1"
"AD  A ","AD  A ","  1"
"AD  A  A","AD  A  A","  1"
"AD B","AD B","  1"
"AD B lOB","AD B lOB","  1"
"AD B lOB ","AD B lOB ","  1"
"AD B lOB  C","AD B lOB  C","  1"
"Additional","Additional","  1"
"Additional small","Additional small","  1"
"Additional small denticles","Additional small denticles","  1"
"Additional small denticles irregularly","Additional small denticles irregularly","  1"
"Additional small denticles irregularly arranged","Additional small denticles irregularly arranged","  1"
"AE C","AE C","  1"
"AE C II","AE C II","  1"
"AE C II Abalos","AE C II Abalos","  1"
"AE C II Abalos and","AE C II Abalos and","  1"
"AG I","AG I","  1"
"AG I Eratyrus","AG I Eratyrus","  1"
"AG I Eratyrus cuspidatus","AG I Eratyrus cuspidatus","  1"
"AG I Eratyrus cuspidatus Stal","AG I Eratyrus cuspidatus Stal","  1"
"Alayo","Alayo","  2"
"Alayo ","Alayo ","  2"
"Alayo  p","Alayo  p","  2"
"Alayo  p ","Alayo  p ","  2"
"Alayo  p  pl","Alayo  p  pl","  2"
"Alberprosenia","Alberprosenia","  2"
"Alberprosenia goyovargasi","Alberprosenia goyovargasi","  1"
"Alberprosenia goyovargasi Martinez","Alberprosenia goyovargasi Martinez","  1"
"Alberprosenia goyovargasi Martinez and","Alberprosenia goyovargasi Martinez and","  1"
"Alberprosenia goyovargasi Martinez and Carcavallo","Alberprosenia goyovargasi Martinez and Carcavallo","  1"
"Alberprosenia Martinez","Alberprosenia Martinez","  1"
"Alberprosenia Martinez and","Alberprosenia Martinez and","  1"
"Alberprosenia Martinez and Carcavallo","Alberprosenia Martinez and Carcavallo","  1"
"Alberprosenia Martinez and Carcavallo ","Alberprosenia Martinez and Carcavallo ","  1"
"Alberproseniini","Alberproseniini","  1"
"ALBERPROSENIINI","ALBERPROSENIINI","  1"
"Alberproseniini Martinez","Alberproseniini Martinez","  1"
"ALBERPROSENIINI MARTINEZ","ALBERPROSENIINI MARTINEZ","  1"
"Alberproseniini Martinez and","Alberproseniini Martinez and","  1"
"ALBERPROSENIINI MARTINEZ AND","ALBERPROSENIINI MARTINEZ AND","  1"
"Alberproseniini Martinez and Carcavallo","Alberproseniini Martinez and Carcavallo","  1"
"ALBERPROSENIINI MARTINEZ AND CARCAVALLO","ALBERPROSENIINI MARTINEZ AND CARCAVALLO","  1"
"Alberproseniini Martinez and Carcavallo ","Alberproseniini Martinez and Carcavallo ","  1"
"ALBERPROSENIINI MARTINEZ AND CARCAVALLO Alberproseniini","ALBERPROSENIINI MARTINEZ AND CARCAVALLO Alberproseniini","  1"
"Alessandro","Alessandro","  2"
"Alessandro Barreto","Alessandro Barreto","  2"
"Alessandro Barreto and","Alessandro Barreto and","  2"
"Alessandro Barreto and Duarte","Alessandro Barreto and Duarte","  2"
"Alessandro Barreto and Duarte ","Alessandro Barreto and Duarte ","  2"
"All","All","  3"
"All tubercles","All tubercles","  3"
"All tubercles mentioned","All tubercles mentioned","  3"
"All tubercles mentioned yellow","All tubercles mentioned yellow","  3"
"All tubercles mentioned yellow polished","All tubercles mentioned yellow polished","  3"
"Almeida","Almeida","  1"
"Almeida Santos","Almeida Santos","  1"
"Almeida Santos and","Almeida Santos and","  1"
"Almeida Santos and Sposina","Almeida Santos and Sposina","  1"
"Almeida Santos and Sposina ","Almeida Santos and Sposina ","  1"
"Almost","Almost","  1"
"Almost entire","Almost entire","  1"
"Almost entire lateral","Almost entire lateral","  1"
"Almost entire lateral border","Almost entire lateral border","  1"
"Almost entire lateral border of","Almost entire lateral border of","  1"
"Although","Although","  1"
"Although the","Although the","  1"
"Although the differences","Although the differences","  1"
"Although the differences from","Although the differences from","  1"
"Although the differences from the","Although the differences from the","  1"
"Alves","Alves","  1"
"Alves and","Alves and","  1"
"Alves and Noda","Alves and Noda","  1"
"Alves and Noda ","Alves and Noda ","  1"
"Alves and Noda  p","Alves and Noda  p","  1"
"AMNH","AMNH","  1"
"AMNH one","AMNH one","  1"
"AMNH one male","AMNH one male","  1"
"AMNH one male holotype","AMNH one male holotype","  1"
"AMNH one male holotype one","AMNH one male holotype one","  1"
"Amyot","Amyot","  2"
"Amyot and","Amyot and","  2"
"Amyot and Serville","Amyot and Serville","  2"
"Amyot and Serville ","Amyot and Serville ","  2"
"Amyot and Serville  p","Amyot and Serville  p","  2"
"AND","AND","  2"
"AND CARCAVALLO","AND CARCAVALLO","  1"
"AND CARCAVALLO Alberproseniini","AND CARCAVALLO Alberproseniini","  1"
"AND CARCAVALLO Alberproseniini Martinez","AND CARCAVALLO Alberproseniini Martinez","  1"
"AND CARCAVALLO Alberproseniini Martinez and","AND CARCAVALLO Alberproseniini Martinez and","  1"
"AND MARTINEZ","AND MARTINEZ","  1"
"AND MARTINEZ Microtriatoma","AND MARTINEZ Microtriatoma","  1"
"AND MARTINEZ Microtriatoma Prosen","AND MARTINEZ Microtriatoma Prosen","  1"
"AND MARTINEZ Microtriatoma Prosen and","AND MARTINEZ Microtriatoma Prosen and","  1"
"Antenna","Antenna","  1"
"Antenna inserted","Antenna inserted","  1"
"Antenna inserted from","Antenna inserted from","  1"
"Antenna inserted from very","Antenna inserted from very","  1"
"Antenna inserted from very close","Antenna inserted from very close","  1"
"Antennae","Antennae"," 30"
"Antennae black","Antennae black","  1"
"Antennae black ratio","Antennae black ratio","  1"
"Antennae black ratio of","Antennae black ratio of","  1"
"Antennae black ratio of antennal","Antennae black ratio of antennal","  1"
"Antennae dark","Antennae dark","  7"
"Antennae dark brown","Antennae dark brown","  4"
"Antennae dark brown First","Antennae dark brown First","  4"
"Antennae dark brown First antennal","Antennae dark brown First antennal","  4"
"Antennae dark reddish","Antennae dark reddish","  2"
"Antennae dark reddish brown","Antennae dark reddish brown","  2"
"Antennae dark reddish brown First","Antennae dark reddish brown First","  2"
"Antennae dark with","Antennae dark with","  1"
"Antennae dark with apical","Antennae dark with apical","  1"
"Antennae dark with apical threefifths","Antennae dark with apical threefifths","  1"
"Antennae from","Antennae from","  1"
"Antennae from reddish","Antennae from reddish","  1"
"Antennae from reddish brown","Antennae from reddish brown","  1"
"Antennae from reddish brown to","Antennae from reddish brown to","  1"
"Antennae inserted","Antennae inserted","  6"
"Antennae inserted apical","Antennae inserted apical","  1"
"Antennae inserted apical of","Antennae inserted apical of","  1"
"Antennae inserted apical of center","Antennae inserted apical of center","  1"
"Antennae inserted at","Antennae inserted at","  1"
"Antennae inserted at center","Antennae inserted at center","  1"
"Antennae inserted at center of","Antennae inserted at center of","  1"
"Antennae inserted close","Antennae inserted close","  1"
"Antennae inserted close to","Antennae inserted close to","  1"
"Antennae inserted close to anterior","Antennae inserted close to anterior","  1"
"Antennae inserted near","Antennae inserted near","  1"
"Antennae inserted near apex","Antennae inserted near apex","  1"
"Antennae inserted near apex of","Antennae inserted near apex of","  1"
"Antennae inserted on","Antennae inserted on","  1"
"Antennae inserted on anterior","Antennae inserted on anterior","  1"
"Antennae inserted on anterior third","Antennae inserted on anterior third","  1"
"Antennae inserted slightly","Antennae inserted slightly","  1"
"Antennae inserted slightly apicad","Antennae inserted slightly apicad","  1"
"Antennae inserted slightly apicad of","Antennae inserted slightly apicad of","  1"
"Antennae of","Antennae of","  1"
"Antennae of general","Antennae of general","  1"
"Antennae of general body","Antennae of general body","  1"
"Antennae of general body color","Antennae of general body color","  1"
"Antennae reddish","Antennae reddish","  1"
"Antennae reddish brown","Antennae reddish brown","  1"
"Antennae reddish brown with","Antennae reddish brown with","  1"
"Antennae reddish brown with apex","Antennae reddish brown with apex","  1"
"Antennae rostrum","Antennae rostrum","  1"
"Antennae rostrum and","Antennae rostrum and","  1"
"Antennae rostrum and in","Antennae rostrum and in","  1"
"Antennae rostrum and in some","Antennae rostrum and in some","  1"
"Antennae short","Antennae short","  1"
"Antennae short with","Antennae short with","  1"
"Antennae short with second","Antennae short with second","  1"
"Antennae short with second and","Antennae short with second and","  1"
"Antennae unusually","Antennae unusually","  1"
"Antennae unusually long","Antennae unusually long","  1"
"Antennae unusually long reaching","Antennae unusually long reaching","  1"
"Antennae unusually long reaching to","Antennae unusually long reaching to","  1"
"Antennae with","Antennae with","  9"
"Antennae with first","Antennae with first","  6"
"Antennae with first and","Antennae with first and","  4"
"Antennae with first and second","Antennae with first and second","  4"
"Antennae with first segment","Antennae with first segment","  2"
"Antennae with first segment slightly","Antennae with first segment slightly","  1"
"Antennae with first segment unusually","Antennae with first segment unusually","  1"
"Antennae with second","Antennae with second","  3"
"Antennae with second article","Antennae with second article","  3"
"Antennae with second article brown","Antennae with second article brown","  1"
"Antennae with second article uniformly","Antennae with second article uniformly","  1"
"Antennae with second article yellow","Antennae with second article yellow","  1"
"Antennae yellowish","Antennae yellowish","  1"
"Antennae yellowish spotted","Antennae yellowish spotted","  1"
"Antennae yellowish spotted with","Antennae yellowish spotted with","  1"
"Antennae yellowish spotted with dark","Antennae yellowish spotted with dark","  1"
"Antennal","Antennal","  2"
"Antennal segments","Antennal segments","  2"
"Antennal segments comparatively","Antennal segments comparatively","  1"
"Antennal segments comparatively stout","Antennal segments comparatively stout","  1"
"Antennal segments comparatively stout and","Antennal segments comparatively stout and","  1"
"Antennal segments I","Antennal segments I","  1"
"Antennal segments I and","Antennal segments I and","  1"
"Antennal segments I and II","Antennal segments I and II","  1"
"Antenniferous","Antenniferous"," 94"
"Antenniferous tubercle","Antenniferous tubercle","  2"
"Antenniferous tubercle and","Antenniferous tubercle and","  1"
"Antenniferous tubercle and first","Antenniferous tubercle and first","  1"
